TvP,FvP,profile,DMc
"[10.96932584035413, 6.639905522297249, 8.579041522114988, 5.9750016017814245, 5.307030374384212, 10.391088058172565, 8.348484033940137, 8.66339532915906, 6.7332405419028865, 6.148789757050351, 6.601486726146027, 8.835153355767922, 6.6666679886005245, 8.723900040961858, 8.604543047068269, 9.487455230185486, 7.146742330118511, 11.977785175857303, 8.61700986911232, 11.305366986776603, 10.22148277907819, 6.45057453712882, 7.740302121218777, 3.6228896952779297, 12.674476445859694, 7.0406731325019285, 7.309520750878811, 9.513074237922961, 9.369203443570274, 9.107794210321934, 5.693320459265464, 10.08315466107935, 7.996677979197169, 6.786959283858276, 11.127107325035196, 7.53596632973479, 10.15844897961281, 11.299140226755629, 9.047204621577093, 5.7725835182732, 7.780998725943298, 7.857083637101836, 8.656027660361616, 6.822972806412608, 7.7076183154479265, 8.799491085587192, 5.601693357916632, 8.288255911383601, 7.6289034465304955, 7.2770021400059175]","[5.328621740529453, 2.9177785826732925, 2.61685490121642, 3.427802219631647, 3.6025215499842167, 2.368132177397938, 2.364873976973183, 4.103254207286555, 3.7993059513702927, 3.7635970198481616, 4.404111436524711, 1.6554195090604398, 3.681839254660222, 4.306044339043149, 5.849764666008374, 4.717909022080236, 3.4229811899302307, 4.9111918591315185, 3.624202781209038, 4.055494331512023, 7.1478502031767, 3.6636714786263105, 4.267036396881719, 3.1144276669004785, 4.672332039430318, 4.7900671028188215, 5.798242471982634, 5.7096863719489015, 4.860602565367644, 6.925417964869961, 6.086614267552657, 8.071511937258935, 5.88742073714465, 6.884107053393808, 6.171700677743197, 5.731062341430322, 7.256170114322355, 6.346024380629113, 9.417041463644376, 9.078855192833506, 9.056130330056332, 5.343477109707107, 7.134199509115311, 7.892017054414031, 6.804980262325347, 10.021662521766334, 8.235641625604924, 4.9780961570987525, 5.249392081925169, 5.9757603501048795, 6.8623986481530395, 6.9174029053928, 5.7200371168045105, 4.087890892445107, 4.865098084097588, 6.696116507596206, 6.837358307806367, 4.200979553807596, 6.969104767212315, 3.5420256753795374, 5.210686231251918, 5.420473912892309, 6.791358946725042, 6.7475721762805065, 4.378109220729328, 4.412745699227451, 7.502455599261145, 6.325380511393532, 6.129087665204446, 4.7102466866562365, 5.995699441898272, 5.053471900575707, 3.7379368872723684, 4.940489180359842, 9.025721676175559, 5.331675073607597, 4.439543131075681, 3.1283003997154544, 7.127310673360705, 6.08776707043344, 7.347635316200654, 9.678967533539387, 6.381007540026357, 11.29127104106345, 5.258853145720846, 11.74818457860148, 12.50458622568517, 3.4698455616679897, 7.758969534336171, 6.006139020017553, 7.348378360671394, 9.738039041429998, 5.594760664468599, 5.842820647839723, 9.517138639060397, 10.59564768142611, 6.767058507494021, 7.972502645207518, 8.419616443240653, 6.12830346366646, 7.878085820928223, 8.688936760479042, 3.34497171450613, 9.85229473125305, 9.546073447834384, 4.747486889438702, 5.241670817718735, 6.310263514268131, 6.409470798580882, 4.540866935804077, 3.9468395257512703, 2.3193061618939352, 5.255509914494738, 4.57827833115991, 2.90864278480013, 5.421059222104858, 5.782538527108804, 4.221335101763376, 10.855133128124049, 4.590079891921627, 5.724730888615486, 4.57941087725557, 4.201233447554498, 2.8274414588216206, 3.857794573215358, 3.745408014988442, 1.355723216014265, 1.17628332040285]","[0.9999795199666814, 0.9999839190191123, 1.0, 0.999988503465971, 0.999952090085555, 0.9998996702828761, 0.9998917715725988, 0.9999176827743341, 0.9999310441653645, 0.999878668315473, 0.9998645215389178, 0.9998875114076303, 0.9999059951096889, 0.9998978907231656, 0.9998681612777062, 0.9998452664039832, 0.9998416367547069, 0.9998329093865931, 0.999835780036806, 0.9998714450391765, 0.9999001205693293, 0.9999177104944912, 0.9999350731343974, 0.9999603574344411]","[0.6012517213821411, 0.6584387421607971, 0.5434252023696899, 0.6275098323822021, 0.758634090423584, 0.5315250754356384, 0.6108484864234924, 0.5065038800239563, 0.4770629405975342, 0.6311250329017639, 0.6974114775657654, 0.738063633441925, 0.7090666890144348, 0.7417817711830139, 0.5999854803085327, 0.7138030529022217, 0.8352547883987427, 1.2166178226470947, 1.526572346687317, 1.789327621459961, 1.5239067077636719, 1.5090605020523071, 1.8147916793823242, 1.7401788234710693, 2.004659414291382, 2.1429944038391113, 1.9745057821273804, 2.431734085083008, 2.4858102798461914, 2.518878698348999, 2.509394884109497, 2.878664255142212, 2.7889254093170166, 2.9013233184814453, 3.078230857849121, 3.083681106567383, 3.2460763454437256, 3.469809055328369, 3.7334630489349365, 3.6384971141815186, 4.0694403648376465, 4.096059322357178, 4.495934963226318, 4.172949314117432, 4.4987077713012695, 4.811367034912109, 4.948073863983154, 5.268883228302002, 4.940975666046143, 5.18162727355957, 5.556183815002441, 5.405947208404541, 5.8753180503845215, 5.511946201324463, 5.603902816772461, 5.89593505859375, 5.4972243309021, 5.90886926651001, 4.835289478302002, 4.922353744506836, 5.305113792419434, 4.567363262176514, 4.452815532684326, 3.949768304824829, 3.901685953140259, 3.560234308242798, 3.678291082382202, 3.1757383346557617, 2.8068509101867676, 2.619288682937622, 2.4400851726531982, 2.132450580596924, 2.257352590560913, 1.8442726135253906, 1.7319878339767456, 1.6449520587921143, 1.6086288690567017, 1.3653045892715454, 1.2924216985702515, 1.3359286785125732, 1.1096265316009521, 0.9796925187110901, 0.862836480140686, 1.0235321521759033, 0.7348010540008545, 0.8572667241096497, 0.6866195797920227, 0.7170029878616333, 0.5464650988578796, 0.7605413794517517, 0.6542415618896484, 0.6280308961868286, 0.8781786561012268, 0.8278880715370178, 0.8098343014717102, 0.8102385997772217, 1.0541776418685913]"
"[20.152461698631516, 18.90228042054613, 13.43920140836161, 16.71400474101105, 15.148313809321008, 16.246440198842226, 17.503457053844496, 16.20156253182698, 14.691178284362381, 15.92040566890368, 17.806507378429277, 18.143970957539807, 26.46637629885697, 23.945259358967764, 17.426567995698058, 15.005369118522832, 16.78809559304836, 15.375872552881752, 17.6945417074182, 12.765533521772404, 12.208275223783046, 19.689711887319106, 16.669016373224796, 21.88057937708102, 20.91731174272187, 17.737199700437525, 21.799473471709632, 22.581596299908437, 16.52074945661929, 17.80007473521317, 13.048385940040454, 16.53536822197867, 17.676362433232306, 12.026698459547674, 13.827373376326165, 14.14702869496999, 17.902477093012298, 12.96037580668057, 16.035403131116034, 17.607478606903456]","[8.546676414797226, 6.568922639536224, 5.211795302923781, 3.7874175649690245, 3.587302704088807, 3.810365160943017, 4.5096117126540705, 6.025247915455944, 3.53072465406168, 3.6014759936731977, 3.263537114497709, 2.772633927142879, 6.131051348374334, 6.499445106691854, 5.916565167179015, 6.35902877331662, 3.6173279095511557, 4.913276094107273, 5.1706593368310445, 3.912857241529854, 5.45996627416844, 7.184822126491688, 6.745510491474178, 6.45820047576808, 9.061957069644704, 13.548137667934965, 19.82371216428387, 10.886430566560987, 6.44357607136209, 7.7080484942862695, 13.946352284472765, 14.897395554311062, 12.998535696487307, 11.592134285944432, 5.906614457975264, 7.2141445322773885, 5.362124700654085, 6.611238264030801, 11.824263240135036, 8.208139097909935, 5.688114354482588, 11.86131905247048, 9.660888683602264, 11.487226671083233, 8.232798354668208, 8.091899749850366, 8.296846075697177, 9.394761100271984, 12.019428408146954, 8.59565367281761, 6.360327710568518, 7.230174964399896, 9.274231776729906, 7.006461265352551, 6.616340685109507, 4.646665688602906, 5.4237336666176725, 5.4795897856818, 6.842206942118727, 6.685793034680171, 7.01275839800005, 6.495360525657165, 8.632815405362564, 7.622314374347305, 4.888069876473085, 7.302183575670695, 4.386155151041383, 6.472229988106776, 5.539179423714188, 6.093146460235205, 6.233696670976129, 6.455809536782809, 7.170261249521901, 5.947665395515618, 5.494066619314519, 7.146430004834631, 4.522401405552959, 4.807313986524115, 7.438289645158433, 5.6315510571718015, 6.769642694764834, 8.486249664426866, 4.599112205085286, 7.675472485243515, 10.16693761584117, 5.714532890972958, 8.159253131630727, 5.641383235829376, 6.22031934309755, 7.749821899038069, 7.8137450562674395, 6.433973399282076, 8.462000490750636, 7.050755129083591, 7.252564734855286, 7.5392215930527975, 8.965858300830272, 6.521418446184017, 5.8426793130018, 12.036897907170568, 10.702591431543876, 10.288124772062726, 8.995217376379163, 8.301595511516858, 5.798755766451197, 3.955645015851146, 6.852364074882152, 8.125704301878374, 7.3261709074077155, 6.354934580103611, 5.480620205673022, 1.6597443290231697, 4.72617938831767, 7.19827388315207, 4.937190620668899, 4.261797383841834, 4.042729554274112, 5.64790627152081, 5.773507017786965, 4.3204126273073244, 4.249426083493391, 6.557412336058975, 5.3098757211291865, 4.485895222549783, 2.8843529778139256, 2.160129845373985, 1.7682932504493487, 1.1247474157183057]","[0.9998544251119926, 0.9999123161819047, 0.9998220094307035, 0.9998323596486607, 0.9998530819417392, 0.9998797850407248, 0.9998769839927186, 0.9999644745145293, 0.9998049860439137, 0.9998386339469096, 0.9998233928921921, 0.9998467672253978, 0.9999046651728886, 0.9999361588470411, 0.9999835290417795, 0.9999019067261904, 0.9999518587888392, 0.999907507539209, 0.9998876184536475, 0.9998950509613868, 1.0, 0.9998685601298467, 0.9998928230779071, 0.9998040609471659, 0.9998806647060401, 0.9998639505785845, 0.9999099463830715, 0.9998344669476033, 0.9998799630848103, 0.9998799206732238, 0.9997627335527588, 0.9996822012415576, 0.9997479653166725, 0.9998631168438217, 0.999694891496004, 0.9997272793481148, 0.9998025501938179, 0.9998459161315206, 0.9998957499512016, 0.9997971536520933, 0.9997823220745788, 0.9998241152754794, 0.9998642999846563, 0.9998663615567296, 0.999837002058519, 0.9999536629292464, 0.9999197090429668, 0.9998240128312903, 0.9997644611140285, 0.999740075571283]","[14.204174041748047, 14.172309875488281, 13.862531661987305, 13.54547119140625, 13.10942268371582, 12.800393104553223, 12.64787483215332, 12.372735023498535, 12.073169708251953, 11.7664794921875, 11.31994915008545, 11.259267807006836, 11.22293472290039, 10.791634559631348, 10.946955680847168, 11.009414672851562, 10.344705581665039, 10.184351921081543, 10.247293472290039, 9.906376838684082, 9.749897003173828, 9.407537460327148, 9.47630786895752, 9.302451133728027, 8.96249008178711, 8.793827056884766, 8.50596809387207, 8.582646369934082, 8.217475891113281, 7.889788627624512, 7.807083606719971, 7.435092926025391, 7.397240161895752, 7.285079002380371, 7.372378349304199, 7.165999889373779, 7.190213680267334, 7.031451225280762, 7.027856826782227, 6.797481536865234, 6.559420108795166, 6.51256799697876, 6.182024002075195, 6.17537260055542, 5.705358505249023, 5.679933547973633, 5.404862403869629, 5.517857551574707, 5.49472713470459, 5.186506271362305, 5.0330071449279785, 4.73130464553833, 4.596168518066406, 4.557436466217041, 4.457714557647705, 4.399046421051025, 4.027444839477539, 4.081833839416504, 4.275561809539795, 4.105513095855713, 3.9363391399383545, 4.146494388580322, 4.442585468292236, 4.156963348388672, 4.114786148071289, 4.317361831665039, 4.397381782531738, 4.3661789894104, 4.428070545196533, 3.855074405670166, 4.121243953704834, 3.9902477264404297, 4.404757499694824, 4.1136322021484375, 4.158820629119873, 3.8469204902648926, 3.989043951034546, 3.98547625541687, 4.289858341217041, 3.96584153175354, 3.835252523422241, 3.918226480484009, 3.6782760620117188, 3.7499446868896484, 3.588329315185547, 4.01241397857666, 4.060196399688721, 3.821319818496704, 4.027912616729736, 4.177242279052734, 3.963475465774536, 4.187602519989014, 4.281707286834717, 4.15429162979126, 4.264776229858398, 4.173778533935547, 4.422236442565918, 4.653268337249756, 4.4479875564575195, 4.502221584320068, 4.337050437927246]"
"[16.16552094441521, 22.55604284700299, 26.510520993033612, 19.242227542020522, 15.199176545991147, 13.457070769831095, 19.142700788729922, 14.810715609230705, 19.626171089576996, 15.87431054829649, 18.19963461621623, 11.749712717673766, 17.44700027024391, 21.45081420308037, 23.549646491728755, 14.392352999744555, 16.732123924727006, 26.58233312080224, 20.92503956524852, 16.644465148307148, 15.88188735705859, 13.740772115403916, 22.03270775460655, 15.354798349194386, 12.299286011784941, 12.732473757961975, 20.316630434261953, 17.73728047787798, 26.709968718179166, 19.535528823764995, 17.13051447244231, 15.296036201590512, 18.79588265117141, 19.892852354646962, 19.37385819856799, 15.547225729985088, 14.848703900096181, 16.752337375333415, 15.802447654249574, 21.869532852996524]","[12.85963020096768, 11.04416045036063, 13.26091979530099, 9.114668744034315, 8.386506147163308, 8.15402966995945, 10.227940028708144, 11.335260995470787, 8.360436011726257, 9.007231332300224, 9.008185547574245, 5.518250523705047, 9.586783734480674, 10.500585182503382, 9.41044180923007, 13.238296131427619, 12.306992867228212, 13.74655221785503, 15.811494329323846, 11.253255292937228, 15.238712679919846, 9.656607984154666, 12.801072739135241, 15.260786476144265, 12.479491260468354, 13.00931691541783, 16.878220898549568, 25.33305574096959, 15.471452676713382, 14.07955922153803, 13.217158025758943, 18.569819170112492, 21.100935007656293, 20.414568100753815, 11.331095470790217, 23.967842754801083, 13.529815680905168, 18.52883844551209, 15.640561080876347, 16.828735549608318, 26.337935759398228, 15.669449053206408, 17.271713518857478, 21.34078720040597, 16.674850815041765, 17.82997471185979, 15.047182305467903, 14.588629359693483, 19.16199307876315, 17.586233049096816, 22.52254087266958, 13.719291865535778, 12.306886464175756, 22.676059201113343, 15.420349348011007, 14.36512982989831, 18.993625622667107, 18.73401586840264, 14.920402267250346, 16.384222065533105, 18.69023475860016, 12.196765040437194, 21.344251276017424, 18.1622775830953, 14.522912154455184, 14.478238960773597, 12.532778073205286, 11.076516713995126, 11.454341412810093, 13.286584318717718, 18.972088026700686, 19.080420701248176, 14.651960873651852, 13.366953418589759, 20.66412691667224, 12.098421723431786, 15.810234759135712, 15.124179805737379, 21.00297240586427, 16.134330985750115, 20.647789131478323, 21.71139285872796, 14.408051055350457, 18.792047527503446, 24.6653581124313, 12.550080125871974, 16.5018230029803, 18.028246794227396, 19.98014868478565, 17.531128610192855, 18.15466124865781, 15.059520276915254, 20.791329718130637, 17.347402776275107, 15.379890876435383, 16.943697100906633, 24.14799658997824, 13.840326907654484, 15.548375243779368, 26.02568610249347, 20.807339151334748, 20.965153961034737, 18.092783853078004, 19.965385087700934, 21.693716279488314, 15.046074715429603, 21.474195037476353, 15.995480872722231, 21.051471067825165, 18.287834581135762, 12.004983938094135, 5.375164646889182, 15.698963869190445, 13.45979203951535, 10.300232904916626, 10.559743373778774, 12.331339850422026, 17.743868506492284, 13.434703253138725, 18.52462021007739, 9.261564209950981, 8.53612401943799, 11.000493061245797, 8.062000982039825, 11.662918502721169, 6.548888087673559, 5.644741735202143, 2.7268058450494554]","[0.9160838723182678, 0.944148600101471, 0.9051538109779358, 1.095894694328308, 1.4674791097640991, 1.191948652267456, 1.4062283039093018, 1.4019695520401, 1.4714738130569458, 1.4553743600845337, 1.6848522424697876, 1.293631672859192, 1.3182824850082397, 0.8851573467254639, 1.0571151971817017, 1.0329118967056274, 0.7748396396636963, 0.8008404970169067, 0.9098900556564331, 0.7276041507720947, 0.7171400189399719, 0.7793485522270203, 0.7428010106086731, 0.9097824096679688, 0.9976226687431335, 1.0128062963485718, 0.9292397499084473, 1.230840802192688, 1.223576307296753, 1.219807744026184, 1.093662977218628, 1.2211267948150635, 1.2450892925262451, 1.4541431665420532, 1.367140769958496, 1.621043086051941, 1.6490182876586914, 1.634317398071289, 1.4636688232421875, 1.4948114156723022, 1.7949166297912598, 1.4661283493041992, 1.4271063804626465, 1.296942114830017, 1.485458254814148, 1.4490097761154175, 1.6711214780807495, 1.7861945629119873, 2.0341498851776123, 1.9353842735290527, 2.1170172691345215, 2.011307954788208, 2.300184965133667, 2.164330005645752, 2.450094699859619, 2.439819574356079, 2.140990734100342, 2.0184884071350098, 2.0174965858459473, 2.0633907318115234, 1.9896938800811768, 1.6726423501968384, 1.4819728136062622, 1.5356013774871826, 1.5510139465332031, 1.5067960023880005, 1.8037478923797607, 1.6906787157058716, 1.5517516136169434, 1.508542537689209, 1.4639620780944824, 1.393139123916626, 1.294708013534546, 1.2650394439697266, 1.3061784505844116, 1.1789301633834839, 1.1209274530410767, 1.2372632026672363, 1.1083941459655762, 0.9260740280151367, 1.169820785522461, 1.1674543619155884, 1.253800630569458, 1.1316463947296143, 1.0555393695831299, 1.1238247156143188, 0.9597429037094116, 1.0831927061080933, 0.9364818930625916, 1.0731693506240845, 1.2234151363372803, 1.1209235191345215, 1.3507784605026245, 1.1188277006149292, 1.1462305784225464, 1.1096456050872803, 1.091975450515747, 1.1053993701934814, 1.0383113622665405, 1.0274282693862915, 1.1116881370544434]"
"[20.81402314212189, 20.568258159781077, 27.36994044634305, 21.526628479520383, 18.171837352923127, 16.941467727693144, 28.267143847663988, 14.957030987543854, 29.256284416380417, 17.563963054944256, 20.67787138570846, 23.47313869522314, 20.84392868052714, 12.677806374098889, 13.334065044632194, 19.150186086655054, 18.02325849667213, 21.59607072037642, 26.27398728685343, 19.406441132367444, 19.416865740171183, 13.850531642916799, 21.084782816781434, 28.800904756284336, 14.234094401122055, 17.263461533738024, 14.182733766147978, 18.96735912723545, 16.54406004885767, 13.088330986961227, 16.008502650054016, 25.217646414935402, 26.836943663273292, 23.35429654924038, 21.665461984599858, 19.488692928952908, 15.612715311620427, 18.8428165908471, 17.505593521384483, 22.98731578515775]","[10.493579539838453, 11.896564589079714, 12.133382911843013, 8.904752797381422, 6.366471677969438, 7.370795746981527, 11.52654668309616, 7.961550194534095, 10.862132768985331, 13.840183509412453, 7.930540253145963, 5.468796384619676, 12.559174652126256, 11.953658836617926, 14.451955001628056, 11.07127042829304, 13.736514883139854, 9.105755201179365, 14.534356797407149, 12.10136519632342, 11.692593188527827, 14.939522502513721, 16.959664257085066, 10.988079018887158, 12.24062847930171, 12.25639263871786, 12.18296476840216, 18.446595647379414, 15.826457762152444, 17.691818361711185, 20.045946417281293, 21.829400887819077, 15.54940742168825, 23.391271045130953, 18.463222368026766, 19.762012747733817, 18.659695336371986, 11.38987157115656, 22.140729384494772, 20.512093586662466, 19.252912430981965, 18.13174770304845, 14.28402924913779, 19.46051798380895, 14.441907960508638, 18.001447191170328, 18.770011543331794, 13.4256561627203, 12.527102077941866, 16.81420852794674, 24.42757225184898, 19.801902356861685, 12.489520292752305, 21.965362279741818, 16.192707904281125, 13.381243207266486, 17.53434318592212, 18.562493309989172, 15.552601454560254, 12.66387228440068, 11.160869377950226, 10.149733905466885, 12.970749581214585, 12.4599997233767, 16.591697035127247, 17.552082310773212, 12.316135241200923, 12.922749968073484, 15.73646969786077, 15.078054038851716, 17.739982385249686, 18.77748984602014, 11.854202855515275, 14.505258108502082, 15.610614289986257, 17.021170687382345, 19.00157076930016, 21.17410988468901, 19.21329393461958, 17.398286653489127, 15.401756029758737, 13.427168972467584, 20.15485553038041, 23.46813433045745, 28.691982755361387, 13.620265194617467, 14.9927821155068, 16.016061197373, 30.085835805537137, 21.006266102813242, 20.969909063513153, 17.98510205153325, 16.140810883940702, 17.55497862252047, 16.5093836830992, 19.436653805762155, 18.255510811077908, 12.436151091923497, 14.220116989592322, 17.97054283121237, 19.27965538326745, 21.438428816943333, 18.501484385327313, 17.63247544528068, 13.484157682004655, 12.663099789111774, 15.071034820804869, 13.54066144097846, 18.435333830867545, 16.76436403683735, 10.055458906781878, 4.539149276549169, 12.539284407862143, 17.58826195258874, 12.055020559649318, 16.51985584616143, 12.856729869780175, 12.917384661723014, 14.247797219313627, 12.379828999261814, 12.668859463591101, 11.172972247602708, 10.569192362420115, 8.18876875072009, 7.979937938894314, 5.69417871519911, 4.914233112315503, 3.0457344016675174]","[0.9999053240966275, 0.9999512056551082, 0.9999426011031779, 0.9997769326431221, 0.9999439004093252, 0.9999503594768664, 0.9998512771403006, 0.9998209662009043, 0.9997767956149245, 0.9998753621825671, 0.9998835570367341, 0.9999524130166368, 0.9999284011958637, 0.9997900308468701, 0.9998690642969955, 0.999859179539441, 0.9998900750498257, 0.9998150033667419, 0.999827367877297, 0.9999151244278434, 0.9997826920638992, 0.9997122247911069, 0.9997879156404279, 0.9998154311642922, 0.9998090115010607, 0.9998561073062925, 0.9997814024756752, 0.9997527137415286, 0.9998238588619334, 0.9998714519854618, 0.999901471990709, 0.9998137452031853, 0.9999177839757042, 0.9999457114606021, 0.9998819318695711, 0.9999051448145034, 0.9998685435116574, 0.9998755911789875, 1.0, 0.9999939403254743, 0.9999303940536863, 0.999922073433755, 0.9997577239062183, 0.9997469154751102, 0.9997538291910067, 0.9998147953768544, 0.9997185601206351, 0.9997711993093031, 0.9998382439498272, 0.9998210948290173]","[0.8355050086975098, 1.0011869668960571, 0.8764759302139282, 1.1204203367233276, 0.7931681275367737, 0.8047506809234619, 0.714743435382843, 0.9073241353034973, 0.9883029460906982, 1.4053078889846802, 1.3211671113967896, 1.4985657930374146, 1.51535165309906, 1.5318636894226074, 1.3741240501403809, 1.1327221393585205, 1.1436691284179688, 1.1210025548934937, 1.1379055976867676, 0.9276947975158691, 0.9629449248313904, 0.905875027179718, 1.011891484260559, 1.0896179676055908, 1.0604621171951294, 1.1456407308578491, 1.039359211921692, 1.1819684505462646, 0.9360441565513611, 1.0468666553497314, 1.1896687746047974, 0.9166889786720276, 0.9104229211807251, 0.8377190828323364, 0.7595449686050415, 0.9893773794174194, 1.1044420003890991, 1.1547355651855469, 1.1136606931686401, 1.3863641023635864, 1.1928002834320068, 1.5128307342529297, 1.4333221912384033, 1.1993086338043213, 1.2177493572235107, 1.5430638790130615, 1.5772829055786133, 1.8361974954605103, 1.8166576623916626, 2.5130615234375, 1.9619991779327393, 2.005038261413574, 1.9526073932647705, 2.0387535095214844, 2.408704996109009, 1.8825470209121704, 1.975589394569397, 1.6634082794189453, 1.3812986612319946, 1.1952580213546753, 1.3329657316207886, 1.2909597158432007, 1.0909180641174316, 1.2150532007217407, 1.1582964658737183, 0.8943217396736145, 1.0246739387512207, 0.9505285024642944, 0.9832088351249695, 1.0748690366744995, 1.0233725309371948, 1.1116623878479004, 1.121885895729065, 1.135145902633667, 1.4184463024139404, 1.0714799165725708, 1.0611625909805298, 1.1687513589859009, 0.9670804738998413, 0.8539720177650452, 0.8033776879310608, 0.7731689214706421, 0.7790570259094238, 0.8455970883369446, 0.7626257538795471, 0.901020884513855, 1.0453978776931763, 1.0543582439422607, 1.227121114730835, 1.2247679233551025, 1.2076469659805298, 1.3030333518981934, 1.6257922649383545, 1.4768141508102417, 1.431628704071045, 1.7319365739822388, 1.6578599214553833, 1.4012130498886108, 1.091497778892517, 1.0560752153396606, 1.1457964181900024]"
