,TvP,FvP,profile,DMc
0,"[47.66917638473015, 38.493207410589434, 35.591132980024824, 34.48477463333, 43.4888179216967, 40.65830081604832, 36.618680035856435, 39.17605895799699, 38.02001638825878, 36.677294757746076, 48.044611470313725, 45.07641727489605, 42.84264277695284, 47.87738493482141, 32.32162397383187, 49.666071217476116, 50.67547932891311, 38.495009495656625, 41.443968832645496, 45.57195860147604, 45.785729472931074, 41.40936276231134, 39.50862651209447, 47.25740446686629, 53.52757939437075, 46.13096727587189, 39.59531753859164, 42.59608265746918, 35.30164671142053, 37.91644637556557]","[31.42596616555488, 22.669119963973017, 36.364212326218734, 19.033052701404745, 13.55255759254459, 13.488880565895796, 17.771906041964908, 15.757586301280545, 17.744205810146397, 21.213845439316955, 15.139114704720232, 14.555601238651839, 22.451855267785216, 28.262674995759518, 20.38467454966748, 19.239186806677843, 17.935342372572695, 19.086564551487875, 22.196765863368604, 31.049527817007004, 21.213720148662848, 20.823256810977668, 25.644108952555396, 24.41812937761869, 29.698536911536387, 28.000879727778813, 25.46518915646831, 28.988929801061786, 33.93681416220719, 31.312435017026516, 21.775174121289073, 42.0503899830126, 30.532933281277497, 32.835133096776616, 31.61932991109144, 29.638662695250222, 35.05247351360136, 29.171836731698683, 30.855292668742525, 39.31982425305922, 31.61926872812268, 31.69751033037252, 28.62839646218738, 41.59606026267196, 33.05922029028517, 29.054902656190794, 27.756576702681453, 31.067620404183195, 45.52400477970305, 39.9439390741102, 37.32896001136883, 28.974002170293083, 24.293383998210825, 35.438971649583046, 23.151995684825774, 33.103832252107374, 28.06396017784838, 23.719113714649072, 21.79516280913021, 25.526061855036197, 31.26849193007389, 34.10350638065757, 36.497189494057935, 25.180389007525456, 28.678360368570022, 29.452484801422575, 32.51707579704043, 25.439250224756353, 23.35792706930312, 32.95035105806802, 28.150677506106454, 26.234244515937412, 22.413139415037016, 41.28005097649324, 27.966610739915165, 28.901565964923304, 26.225089070857482, 36.86539896309563, 24.25136751391495, 34.84142924087697, 33.9150378219697, 28.148382516419876, 26.855149647121497, 26.10696075567049, 48.43988145088238, 26.725453397285428, 30.98837385311912, 21.715949566724184, 25.268740081536436, 33.59826760908658, 31.007920964716853, 43.26867950229632, 26.394684299485643, 31.966517486726296, 36.77459492281135, 28.31536579873845, 34.235590875812626, 26.174782530389038, 27.77951185418969, 47.456215259378986, 37.02565064510016, 37.92828901431222, 41.611671361741315, 36.80180657468616, 31.470344179784746, 27.64967361878027, 33.00292507918429, 25.651598239908232, 32.84979052356656, 17.123720416067897, 19.230380756885975, 9.27555276028195, 22.317276078201928, 22.707076818163358, 25.436074484056075, 24.005806463451105, 20.06698875800166, 24.179939203514177, 19.714086260449864, 28.47371917316562, 21.230072806809428, 23.50074607328584, 18.648822081533517, 21.86149982413179, 14.978089505647189, 14.854970451922885, 8.472090103624401, 6.508110859918437]","[0.9998385531917714, 0.9995734969331526, 0.9997123340925141, 0.9998136728845061, 0.9999109002909943, 0.9997714773816968, 0.9997200520921009, 0.9999149818958005, 0.999772563626058, 0.9999360824238466, 0.9998782083010047, 0.9998686440522809, 0.9997054576924419, 0.9997547975635148, 0.9998979468019908, 0.9999212945494799, 0.9997429169439856, 0.9997412774071525, 0.999959907678258, 0.9997661439359308, 0.9997061343356566, 0.9998407062358204, 0.9999333088356036, 0.9999086555136151, 0.9999785952466638, 0.9997471365830427, 0.9998927099293533, 0.9997713732594451, 0.9998861033543364, 0.9997748824193865, 0.9998415332040336, 0.9998916909271952, 0.9996877846757692, 0.9997272903718987, 0.9997732470211433, 0.9997161793088339, 0.9998719326084012, 0.9998070931222997, 0.9996970342541729, 0.999892881873589, 0.9996053064103307, 0.9996439190449062, 0.9998070454747939, 0.9997206684965484, 0.9996147915916637, 0.9996745755234046, 0.9995423775516895, 0.9998815002817971, 0.9999124089300739, 0.9999002283238758, 0.9997681249294895, 0.9998831662039396, 0.9996367442540083, 0.9997550655618559, 0.9996420160135518, 0.9996827881309948, 0.9996849329576327, 0.9996581633860169, 0.9999344665608144, 0.9996831697314945, 0.999674921204591, 0.9997526639280968, 0.999723035886823, 0.9996975861030065, 0.9997249597226308, 1.0, 0.9996765268988855, 0.9996596203185691, 0.9997474525153215, 0.9999576157117896, 0.9997621619998013, 0.9999237862147081, 0.9997265638918549, 0.9998385305478226, 0.9996615598288999, 0.9999551855196179, 0.9997790091164234, 0.9998181030594397, 0.9998209158247021, 0.9998411942709603, 0.999782769312743, 0.9998081074041729, 0.9996359297414474, 0.9997251331295851, 0.9997680394161872, 0.999862510755981, 0.9999361056436264, 0.9999147092800853, 0.999685986045652, 0.9999595422585235, 0.9999628310224103, 0.9998970836299852, 0.999790799000198, 0.9996998563859406, 0.9996858255832642, 0.9996274723222927, 0.9997197247557874, 0.9999243305529304, 0.9998383699202514, 0.9996900754869102]","[1.577514410018921, 1.5322118997573853, 1.5168790817260742, 1.5155307054519653, 1.7004848718643188, 1.667453646659851, 1.821279525756836, 1.4669872522354126, 1.3713936805725098, 1.339056372642517, 1.3749077320098877, 1.3082932233810425, 1.2479714155197144, 1.2499396800994873, 1.1281684637069702, 1.1445692777633667, 1.2038229703903198, 1.291728138923645, 1.3305200338363647, 1.4258155822753906, 1.3188297748565674, 1.189748764038086, 1.2215198278427124, 1.232942819595337, 1.3936699628829956, 1.3269786834716797, 1.4616951942443848, 1.3683196306228638, 1.4739216566085815, 1.4426383972167969, 1.2683576345443726, 1.3211554288864136, 1.3414915800094604, 1.283766508102417, 1.2492425441741943, 1.41451895236969, 1.4714857339859009, 1.3066869974136353, 1.3591703176498413, 1.398095965385437, 1.3450762033462524, 1.3416149616241455, 1.4002152681350708, 1.39052414894104, 1.4883012771606445, 1.2617902755737305, 1.1264443397521973, 1.0009466409683228, 1.0991029739379883, 1.220757007598877, 1.1282403469085693, 1.0839768648147583, 1.141269564628601, 1.1849796772003174, 1.246820092201233, 1.179410457611084, 1.1241837739944458, 1.0383185148239136, 0.9574911594390869, 1.1656363010406494, 1.1339921951293945, 1.1230401992797852, 1.0355454683303833, 1.1448543071746826, 1.0849785804748535, 0.9680658578872681, 1.2374757528305054, 1.225334644317627, 1.2561019659042358, 1.2114547491073608, 1.1006529331207275, 1.1159605979919434, 0.9711498618125916, 1.0850430727005005, 1.1196860074996948, 1.0526268482208252, 1.0701332092285156, 1.0212956666946411, 1.1268242597579956, 1.087619662284851, 1.0474486351013184, 1.0148881673812866, 1.0925400257110596, 0.9366863965988159, 0.989660382270813, 1.145760416984558, 1.2546507120132446, 1.106065034866333, 1.0387827157974243, 1.087766170501709, 1.1743981838226318, 1.198191523551941, 1.3003854751586914, 1.1550469398498535, 1.1367233991622925, 1.0700806379318237, 1.1613000631332397, 1.1371090412139893, 1.2640825510025024, 1.1600075960159302, 1.1264324188232422, 1.0854408740997314, 1.0145970582962036, 0.9958137273788452, 1.1076862812042236, 0.9319545030593872, 0.983558714389801, 1.1135209798812866, 1.1686023473739624, 1.12668776512146, 1.30653977394104, 1.3086414337158203, 1.2758312225341797, 1.271981954574585, 1.152914047241211, 1.0579603910446167, 1.07221519947052, 1.1194056272506714, 1.0611087083816528, 1.0527839660644531, 1.0207865238189697, 1.0407941341400146, 1.035361886024475, 0.9800136685371399, 1.0295549631118774, 1.1299861669540405, 1.159153699874878, 0.8963124752044678, 1.0147024393081665, 0.8997777700424194, 0.9451627135276794, 0.9092029333114624, 1.0307056903839111, 1.1493884325027466, 1.0371626615524292, 0.9904533624649048, 0.9671041965484619, 1.0009379386901855, 1.0992101430892944, 1.1805251836776733, 1.0488777160644531, 1.0636216402053833, 1.0965908765792847, 1.3634936809539795, 1.1877249479293823, 1.060246467590332, 1.0411462783813477, 1.1006836891174316, 0.9595486521720886, 0.9792094826698303, 1.1264222860336304, 1.0946128368377686, 1.1205735206604004, 1.085519552230835, 1.119104266166687, 1.0860763788223267, 1.1314773559570312, 1.0378273725509644, 1.0733304023742676, 0.9800247550010681, 1.0822786092758179, 0.9443556666374207, 0.9700748324394226, 1.0016485452651978, 1.0669012069702148, 0.8985653519630432, 1.0065782070159912, 1.0136260986328125, 1.0615220069885254, 0.9629554748535156, 0.9926483035087585, 0.9996115565299988, 0.9614367485046387, 0.9951359033584595, 1.0409674644470215, 0.9619545936584473, 0.9943481683731079, 0.9802888035774231, 0.9495788216590881, 0.9070308804512024, 0.9705762267112732, 0.9914713501930237, 1.0352760553359985, 1.0150641202926636, 0.9118669033050537, 0.9463133811950684, 1.0496433973312378, 0.9366318583488464, 0.8636295199394226, 0.8792349696159363, 1.1073724031448364, 0.9623128771781921, 1.0318487882614136, 1.0108004808425903, 1.1266571283340454, 1.2027937173843384, 1.138115406036377, 1.0664960145950317, 1.168853759765625, 1.2348196506500244, 1.1871477365493774]"
1,"[18.878255448669933, 24.339065648440034, 26.586327711178793, 15.718543520918875, 16.39729915776341, 16.310159495230828, 14.726051492887922, 17.270309574824218, 22.220931488260735, 12.186416554710467, 18.716327286360492, 18.342743906863596, 15.823639386787411, 16.886057883237633, 18.773314440944162, 14.276010056267527, 25.745757751428496, 15.446181874271172, 14.614281270638024, 13.130542648750286, 15.141203651889098, 18.55354631599171, 18.453034016273943, 14.26279581554659, 18.261296139242816, 13.564627140871593, 18.070019750860855, 18.267415800561555, 17.032065620326147, 18.42405552488116, 19.3833556426627, 19.645473026830338, 11.728477796095486, 18.190302557098747, 20.003359132863128, 26.95568917775274, 24.333793485260397, 18.39055963703312, 21.508069859021017, 13.819711099896427]","[9.333061398252314, 8.862255951285965, 5.467301848160177, 6.5145301685054, 6.969628065337368, 6.716256475075631, 7.726077087458595, 9.482760587961646, 9.721600568637651, 7.636518898497822, 7.041694257493897, 5.034735997721928, 13.115186693109434, 8.034234516498605, 8.436943988640468, 14.298952769097866, 9.362503230466016, 8.947033293008193, 11.413642778218572, 15.757379835029026, 14.174964494312736, 8.627642962074285, 13.017951213961155, 14.4324708837249, 21.703523541987806, 10.80278067545126, 15.846105722009355, 13.824383598183127, 13.110915734252794, 13.53874040383078, 18.6393824985568, 13.437613643529614, 11.22619194269139, 19.528314536753044, 11.334169096056268, 14.509196039349073, 18.706884696139905, 13.28909930591907, 14.609853045311386, 16.3764601926272, 15.09674612971135, 20.404195491727688, 20.53118931646887, 21.26985460132905, 18.817641889362523, 15.014756898503242, 13.659298872309229, 14.859361352681855, 18.302084804097973, 16.710808813956135, 14.953498842636156, 14.745868771122144, 17.890589161968716, 16.248084821053183, 18.494507808603327, 13.430686525996622, 15.410219388156666, 14.735701557347038, 11.08765729185806, 15.455246579600546, 11.94706555088386, 17.630744516635975, 17.9299840534296, 20.83598528114805, 12.870913521469005, 15.960398937993057, 12.213376297590816, 12.066211549063354, 13.84051300116492, 15.508304326687849, 11.33400039031428, 20.746273986730152, 13.292135417843763, 20.011576755473214, 13.78082126034096, 13.868836323790449, 14.948984803316133, 10.14013824321765, 17.55089548496005, 21.18550302609162, 16.304435912314677, 19.960901529560573, 12.645353487966911, 24.54779685376404, 20.26700502742518, 23.020571158871643, 28.834805185619345, 16.71528189189165, 14.856309378212664, 20.055789294750557, 10.948575322803705, 20.891152542241763, 16.101223671948393, 16.981763197351526, 22.393633496515154, 20.54486254088466, 18.28844369206704, 17.74459346181507, 19.35966751037172, 18.698065451131672, 21.72102668056018, 14.04526302648637, 15.540898583356986, 20.852847527733655, 17.88059008506747, 13.269899781112567, 17.658813261775478, 13.291880756473246, 14.403664299845465, 10.929334901400527, 9.164118484383717, 5.696930678792189, 10.40454715960831, 14.766745718758912, 10.507492356196781, 14.633632338787372, 17.5766215769584, 8.605698814416908, 13.745145667636448, 11.811726190908193, 8.57657154290074, 8.762081261965447, 10.420884088794184, 8.148129730749305, 7.787137667493665, 4.94530389255788, 4.9216377019409485, 2.8571483639447477]","[0.9999271199621581, 0.9999352877022585, 0.9999558645950963, 0.9999741943756314, 0.9999829142764103, 0.9999874210576666, 0.9999824820269729, 0.9999709279126714, 0.999939195652311, 0.9999263752618406, 0.9999061858985376, 0.9999113379764568, 0.999908159290727, 0.9999200438004385, 0.9999297645106693, 0.9999421070005032, 0.999955353357857, 0.9999620978255507, 0.9999891031610295, 1.0, 0.9999880074925211, 0.9999768277038327, 0.999964254529178, 0.9999342259302609, 0.9999078398022175, 0.9999019665700476, 0.9998959516256174, 0.9998983353277219, 0.9999023230305958, 0.9999225716867944, 0.9999168907771715, 0.9999119057843026, 0.9999090074139433, 0.9998926966140788, 0.9998832294525545, 0.9998590561569625, 0.9998674273616376, 0.9998725235155246, 0.9998696779554627, 0.9998803953239602, 0.9999060610124649, 0.9999022445877884, 0.9998877196029912, 0.9998835280805203, 0.9998876087889461, 0.9998702431719563, 0.9998725624219827, 0.9998796237564551, 0.9999012197928017, 0.9999158754431616]","[2.2695789337158203, 2.057425022125244, 1.7592475414276123, 1.6621031761169434, 1.4196066856384277, 1.196886420249939, 1.4508955478668213, 1.2841914892196655, 1.7493356466293335, 1.1944551467895508, 1.0945353507995605, 1.053985834121704, 1.0362639427185059, 0.9532797336578369, 0.9654218554496765, 1.2973781824111938, 1.5089895725250244, 1.3558036088943481, 1.2810711860656738, 1.1991382837295532, 1.110726237297058, 0.9037609100341797, 0.9148731231689453, 0.8468179702758789, 0.8819339871406555, 0.9045864343643188, 0.8242350220680237, 1.2144534587860107, 0.9039517045021057, 1.0947016477584839, 1.1122764348983765, 0.9850671291351318, 0.977933943271637, 1.1347111463546753, 1.0535166263580322, 1.2449008226394653, 1.1252000331878662, 1.0958340167999268, 0.9448939561843872, 0.94022536277771, 0.9679291248321533, 0.8913339376449585, 1.083691120147705, 1.077324628829956, 1.0883443355560303, 1.2508735656738281, 1.0867180824279785, 1.1181000471115112, 1.1190073490142822, 1.2298318147659302, 0.9379197359085083, 1.1257867813110352, 1.025162935256958, 1.0330524444580078, 1.002074956893921, 1.1605100631713867, 1.0998200178146362, 0.891755998134613, 1.1272897720336914, 1.2189054489135742, 1.0426098108291626, 0.9785140752792358, 1.092500925064087, 1.0953413248062134, 1.2711315155029297, 1.4532649517059326, 1.8825857639312744, 1.9774521589279175, 1.3922719955444336, 1.346035122871399, 1.0707200765609741, 1.2774473428726196, 1.0546621084213257, 1.227710485458374, 1.2812854051589966, 1.5092331171035767, 1.2420884370803833, 1.5621041059494019, 1.3717646598815918, 1.4711809158325195, 1.4895306825637817, 1.2136257886886597, 1.2247536182403564, 1.2729865312576294, 1.1262800693511963, 1.0542478561401367, 0.7779833078384399, 0.644902229309082, 0.684005618095398, 0.9382324814796448, 1.0850731134414673, 0.9943786859512329, 1.0605026483535767, 1.1108639240264893, 1.0143756866455078, 1.0402171611785889, 1.252030849456787, 1.473653793334961, 1.3589872121810913, 1.2392886877059937, 1.4777427911758423]"
2,"[13.95069495990488, 16.07672844600371, 13.21313481590444, 15.383105232249717, 19.80146631834276, 21.547071734518806, 18.16682902257591, 15.127287153349242, 9.587440027954637, 12.431482420303938, 10.114977561717533, 11.841999198016579, 15.238337616819463, 8.754294918929515, 14.034554630926781, 18.74430581823838, 15.17675892583715, 15.194165861029733, 22.75782401891874, 18.302387000915132, 15.958022199556959, 11.996132147043106, 19.38844625723605, 18.449630875101192, 24.61082946871454, 13.642438729776696, 14.997718085414892, 14.177180542154774, 16.36478368941512, 16.37987323868479, 11.080629103750168, 18.225518013945035, 15.513800238897577, 12.084091016199261, 20.868738247815898, 13.24758020548643, 0.0]","[12.52051508832168, 11.799982899049592, 10.576556860607429, 9.594066855238612, 8.290350255998193, 11.601507604452646, 6.541520069720022, 7.11201846162908, 12.344331009694207, 9.807575654812124, 8.76432023108467, 5.422005084682056, 11.231213157012352, 12.036655128820112, 8.853044754102713, 7.6115738622055105, 9.982231921697055, 8.88834177326823, 6.615042729570514, 10.43733706505265, 10.75746861453938, 13.209467589947623, 12.69303521823306, 7.316207061703708, 10.186579505116267, 17.487523457540206, 11.908864956837382, 21.19250364501529, 10.97345615048296, 6.9614437422315065, 16.459376415622245, 16.11126237914239, 16.049737556920984, 15.312377813093027, 17.59037503915993, 16.09895280980633, 11.007917515335953, 20.280672825721318, 11.085585735508529, 18.683626456420242, 9.94006434092724, 15.257606844933918, 24.172169250169482, 17.44370291581368, 16.629132685754257, 17.240723329035877, 14.057553157383495, 13.097563586131916, 19.939768094545283, 23.067149863561102, 18.10594196864257, 13.026196456587162, 18.97629771759589, 11.09257318091162, 15.346170276979029, 11.8377203332429, 17.129424455099667, 12.200560718984494, 10.10796204138566, 13.717115399780441, 18.8759705630707, 9.521298094158448, 16.605847117656552, 10.1749544141197, 16.51026708285894, 14.566411058510822, 17.927664707505336, 18.62254340870307, 10.074519329303886, 14.059021087590581, 13.880709505780443, 17.457098229623863, 12.874879779908497, 13.708929391291228, 10.960722548009114, 13.936312549758737, 24.69276663700782, 15.405621028234329, 23.48934649460506, 12.903894408403158, 14.409567975122991, 12.313835327477111, 10.551130496118882, 15.136407174627433, 26.26353441301599, 15.646006008646115, 13.751151285834059, 13.610987451201934, 16.87763266666995, 14.43538069753259, 18.60942126114382, 21.993930385843793, 15.99631158671494, 16.769657550197845, 13.488549748574398, 24.202395002873935, 15.766555593008382, 15.35195393410379, 14.660883486148656, 17.133784547418834, 14.836477358935134, 22.460313287975747, 12.232533195035185, 18.67100771564669, 10.126421726613682, 7.30358346977809, 20.97022495942176, 16.971289617688477, 8.062076859262183, 7.795215909512673, 8.909663541557928, 4.093905135814459, 9.512647138017064, 14.459709099969489, 10.406994689919495, 22.504495709975654, 15.105542864549369, 10.99051380343265, 12.518529474279799, 9.212446885648205, 10.10989208979707, 8.587484271014086, 6.703887041398776, 8.629181741481386, 7.954979868476713, 4.603842093078133, 3.2447156243773123, 3.1441984566738235]",,"[1.4255905151367188, 1.4712613821029663, 1.3618563413619995, 1.3454937934875488, 1.3490289449691772, 1.2048782110214233, 1.1666829586029053, 0.9950898885726929, 0.9776518940925598, 0.9246656894683838, 0.8894106149673462, 0.7878308296203613, 0.7867231369018555, 0.785578191280365, 0.7763752937316895, 0.8265778422355652, 0.8185193538665771, 0.8780742883682251, 0.9358989000320435, 1.1374173164367676, 1.3808608055114746, 1.6187824010849, 1.640075445175171, 1.993736743927002, 2.213192939758301, 2.1389074325561523, 2.3688530921936035, 2.2862865924835205, 2.3478786945343018, 2.2102859020233154, 2.222764253616333, 2.228189706802368, 2.061333417892456, 2.1413512229919434, 2.1541669368743896, 2.382143974304199, 2.120961904525757, 2.2954671382904053, 2.482097864151001, 2.286327362060547, 2.5156924724578857, 2.6396539211273193, 2.6021814346313477, 2.582294225692749, 2.3748879432678223, 2.4366846084594727, 2.4325900077819824, 2.513737440109253, 2.531132221221924, 2.609065055847168, 2.7033114433288574, 2.892029047012329, 2.9940226078033447, 3.089186906814575, 3.1950364112854004, 3.0894930362701416, 3.138155221939087, 3.2909164428710938, 3.218912124633789, 3.166010856628418, 2.8076419830322266, 2.924510955810547, 2.934576988220215, 2.8330881595611572, 2.5715408325195312, 2.4946706295013428, 2.336432456970215, 2.1900501251220703, 2.204627752304077, 1.7967044115066528, 1.5943572521209717, 1.409124493598938, 1.1739553213119507, 0.9319275617599487, 0.8309909701347351, 0.6811901926994324, 0.6231378316879272, 0.6130199432373047, 0.6365273594856262, 0.5970456004142761, 0.6035878658294678, 0.6058196425437927, 0.567905068397522, 0.5260609984397888, 0.5135661959648132, 0.521943986415863, 0.48043981194496155, 0.4732650816440582, 0.5172575116157532, 0.4597618281841278, 0.4617900550365448, 0.330576092004776, 0.40722954273223877, 0.45986810326576233, 0.45360201597213745, 0.5009070038795471, 0.4773513674736023, 0.6496855616569519, 0.6072441339492798, 0.5792365670204163, 0.6450164318084717]"
3,"[14.614578938909519, 14.102777167581023, 19.569374624508548, 22.220695463567218, 11.5894226506863, 15.482141063421922, 12.579624008584215, 11.89878536710398, 11.866423699748196, 10.545111044316792, 16.440033474959, 15.942244816003898, 11.07360561234336, 17.1745183769401, 17.4004322262428, 16.220079885063512, 16.093030092312006, 21.293482800843496, 14.53867796712613, 19.743047780733356, 16.328934245796134, 15.123597780629787, 18.599975059694472, 17.02544556715012, 18.3531925677974, 19.064448292379, 21.02132136575254, 21.075133592610506, 14.600339515046421, 19.984388523967528, 17.623650512619367, 18.285076676935628, 12.026766205880532, 20.427174426299754, 17.871391759033543, 17.081979499509682, 24.91882503555481, 16.65811257377135, 13.580474439458051, 21.983422486123537]","[11.274061464823586, 8.084253426721103, 4.42193524351349, 5.022886082151533, 4.635068899517605, 4.57109177807215, 3.9731462813936305, 5.478554718684265, 5.387129791886349, 6.196544692233492, 3.3097904208025835, 2.3872002516296105, 5.358604547880408, 5.727263675263527, 7.228083586629452, 5.451664763872002, 5.372585499479373, 7.958828958211299, 5.471621752100832, 5.103264486060167, 5.425339997419598, 6.255097074539972, 11.158723590197443, 6.4969692899712275, 5.431895990017058, 13.96864126361093, 19.761882679445094, 11.193609344181624, 5.724464981723854, 9.484867576284154, 15.63071871506041, 19.70231127702133, 16.454454536760032, 11.349707568099825, 5.115545398573665, 12.882011178860104, 5.954216660639665, 8.393560858376564, 8.342174233068894, 10.939728608025394, 9.264377015035342, 6.9091382273708355, 8.266530417740562, 9.925628172443814, 6.821618509459728, 6.86371715973635, 5.832781533306551, 9.111611864756139, 6.751400513516606, 10.016736125960584, 6.628616920807447, 6.836655464980422, 6.205816071611758, 7.480861756217516, 8.775390322665775, 7.610600608945421, 6.371077271187996, 6.16443514142962, 5.563362425193231, 5.967190819771323, 5.342898736753604, 7.572975793355656, 6.368186463786364, 8.051747104706607, 5.6714721848100105, 6.9344324092130725, 5.402381756479399, 5.498035823233906, 4.850835995080484, 7.619423557906329, 8.14748960367736, 6.965253234745494, 5.409721699785669, 7.293485940564832, 10.82903517371446, 8.820204327799562, 5.3281901530596105, 6.309467995494231, 8.29800329445177, 5.691485730510663, 8.53775482392601, 8.72300111497507, 7.017886216934836, 6.830915885237408, 6.4026212381314815, 8.198901549189607, 7.448829873110436, 7.354089365577499, 9.087358975625953, 8.40322641371373, 10.105184243507434, 11.179667746683677, 6.805376217880823, 6.739125493798347, 5.934757402057505, 8.80330124477493, 8.479689464986352, 5.680011761557973, 6.777401149708991, 8.491869604631006, 9.535173630535246, 6.784036433311354, 6.372653386997052, 9.90083064915725, 6.611361822341131, 5.495053761558821, 6.883712122714065, 7.881617046102389, 8.920362628051652, 8.587641944733331, 4.701002911839688, 2.4646664159893614, 7.210457785874149, 6.592965027603135, 7.562931702127012, 4.716136473965523, 5.84831156628512, 6.312794652860407, 5.257271944678374, 5.58628023890733, 5.416227367065502, 3.8390905408797265, 4.810110995511425, 5.378828838440136, 3.155286049188936, 3.013080822632582, 1.5718038601727882, 1.7073360229227144]","[0.9995998270314164, 0.999536579671603, 0.999562599099471, 0.9995540617238334, 0.9996256998454452, 0.9996796100407918, 0.9996156709957312, 0.9993939927235979, 0.999496264975337, 0.9994261185223201, 0.9993854682677613, 0.9996030180376556, 0.9994871100538986, 0.9995416461984509, 0.999437922669793, 0.9994383041659135, 0.9994274274641173, 0.9992944580713328, 0.9993314810585725, 0.9993945928306309, 0.99934349134388, 0.9993722677953277, 0.9994249210920529, 0.9993692241078079, 0.9993848032773981, 0.9994249030095194, 0.9994120360801558, 0.9995013659564956, 0.9995792381378702, 0.9996655577840498, 0.9997031704557469, 0.9997895947327057, 0.9997781498775147, 0.9998207486651673, 0.999882407384111, 0.9998727126435343, 1.0, 0.9999151129213756, 0.9997902313253222, 0.9998389488215642, 0.9998343186277526, 0.9997455592117567, 0.999782995297028, 0.9997526653183605, 0.9996303014973126, 0.9996676173168554, 0.999614534356854, 0.9994900181759516, 0.9996169832734528, 0.9994738137716057]","[11.737663269042969, 11.39254379272461, 11.265999794006348, 10.983251571655273, 10.228479385375977, 10.437016487121582, 9.87129020690918, 10.056258201599121, 9.602007865905762, 9.094680786132812, 9.012431144714355, 8.992719650268555, 8.568702697753906, 7.982177257537842, 8.068643569946289, 7.8825154304504395, 7.694221019744873, 7.3281331062316895, 7.198953151702881, 7.115416526794434, 7.054099082946777, 6.978167533874512, 6.710606098175049, 6.629635334014893, 6.455894470214844, 6.528814315795898, 6.418088912963867, 6.553460597991943, 6.48807430267334, 6.3439249992370605, 6.601958274841309, 6.078377723693848, 6.4346089363098145, 6.4263739585876465, 6.999622821807861, 6.572241306304932, 6.198132514953613, 6.022014617919922, 6.340758800506592, 6.707247257232666, 6.413602352142334, 6.17949914932251, 5.979642391204834, 6.030080795288086, 6.215882301330566, 6.272987365722656, 6.49677038192749, 6.218013763427734, 5.946285247802734, 5.988554000854492, 5.9063944816589355, 5.620882987976074, 5.6579060554504395, 5.761198043823242, 5.538125991821289, 5.589371681213379, 5.306979179382324, 5.4045538902282715, 5.400979518890381, 5.4383721351623535, 5.40425443649292, 5.188765048980713, 5.10347843170166, 5.143568992614746, 5.16901969909668, 4.920594692230225, 5.000868797302246, 5.1161065101623535, 5.087042331695557, 5.0060811042785645, 4.922704696655273, 5.232254505157471, 5.4715681076049805, 4.983764171600342, 4.642212867736816, 5.067294120788574, 4.904666423797607, 4.526716709136963, 4.183817386627197, 4.313403606414795, 4.242783069610596, 4.16956090927124, 4.0590667724609375, 4.103155136108398, 4.191734313964844, 4.190186977386475, 4.1736273765563965, 4.312911510467529, 4.1952009201049805, 4.312748432159424, 3.9456098079681396, 4.229132652282715, 4.137820243835449, 4.05602502822876, 4.19005823135376, 3.7141640186309814, 3.6851086616516113, 3.6800436973571777, 3.391716718673706, 3.2927258014678955, 3.2613327503204346]"
